RA Details,,,
RA Technical End Date/Time,,07-08-2021 12:00:00,
RA Opening Date/Time,,07-08-2021 12:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,75 (Days),
Ministry/State Name,,Ministry Of Defence,
Department Name,,Department Of Defence Research & Development,
Organisation Name,,Office Of Dg (mss),
Office Name,,***********,
Total Quantity,,2,
Item Category,,Multifunction Machines MFM ( PAC Only ),
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"OEM Authorization Certificate*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Advisory Bank,,State Bank of India,
"",ePBG Percentage(%),,3.00,
"",Duration of ePBG required (Months).,,62,
Make,xerox
Model,xeroxversalinkc7030with5yearwarranty
Brand Type,Registered Brand
Specification,Specification Name,Bid Requirement (Allowed Values)
Type of Machine,Multifunction Machine,
Print Technology,Laser,
Type of Printing,Colour,
Cartridge Technology,"Composite Cartridge, Separate Drum and Toner (MonoComponent), Separate Drum and Toner (DualComponent) Or higher",
Developer Unit,"Yes, No Or higher",
Platen/Flatbed Size,A3 Or higher,
Paper Size (Original/Image),A3/A3,
RAM size (MB),"4096, 6144, 3072, 2560, 7168, 5120, 8192, 16384,2816, 4000, 10240, 4608 Or higher",
Hard Disk Capacity(GB),"1024, 1000, 2000, 3000 Or higher",
"Minimum Speed per Minuteas per ISO/IEC 24734 in A4Size-Mono","30, 31, 35, 36, 38, 40, 43, 45, 46, 47, 50, 52, 55, 60,61, 65, 70, 71, 75, 80, 90, 95, 100, 105, 110, 51, 56,41, 120, 130, 160, 57, 33, 34, 32, 85, 81, 53 Or higher",
"Minimum Speed per Minuteas per ISO/IEC 24734 in A4Size-Colour","30, 31, 35, 36, 40, 50, 60, 46, 120, 130, 160, 65, 45,34, 55, 38, 56, 75, 81, 71, 53, 32, 70 Or higher",
Specification,Specification Name,Bid Requirement (Allowed Values)
"Minimum Speed per Minute asper ISO/IEC 24734 in A3 Size-Mono","18, 20, 21, 22, 24, 26, 27, 28, 30, 32, 35, 39, 40, 42,44, 45, 46, 48, 50, 54, 55, 60, 65, 70, 75, 25, 37, 17,38, 80, 23, 19, 34, 36, 53 Or higher",
