Bid Details,
Bid End Date/Time,06-08-2021 16:00:00
Bid Opening Date/Time,06-08-2021 16:30:00
Bid Life Cycle (From Publish Date),90 (Days)
Bid Offer Validity (From End Date),80 (Days)
Ministry/State Name,Ministry Of Defence
Department Name,Department Of Defence Production
Organisation Name,Indian Ordnance Factories
Office Name,***********
Total Quantity,6655
Item Category,"25 MM+ 0.2/-0.1 MM THICK X 915 MM WIDE X 1730 MMLONG ROLLED. ALUMINIUM ALLOY SHEET TQ SPECIFICATION"
"MSE Exemption for Years of Experience andTurnover",No
"Startup Exemption for Years of Experienceand Turnover",No
Document required from seller,"Additional Doc 1 (Requested in ATC),Additional Doc 2(Requested in ATC),Additional Doc 3 (Requested inATC),Additional Doc 4 (Requested in ATC)*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer"
Bid to RA enabled,No
"Time allowed for Technical Clarificationsduring technical evaluation",5 Days
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",Yes
"Inspection to be carried out by Buyers ownempanelled agency",Yes
Type Of Inspection,Stage-wise Inspection
"Name of the Empanelled InspectionAgency/ Authority",Board of Officers
Estimated Bid Value,2944837
Evaluation Method,Total value wise evaluation
"",Required,,No,
"",Advisory Bank,,State Bank of India,
ePBG Percentage(%),,3.00,,
Duration of ePBG required (Months).,,14,,
"",MII Purchase Preference,,Yes,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded
"",Buyer Specification Document,,Download,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************NAGPUR6655120",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,***********,,***********NAGPUR,,6655,,120,
